cf,70.0
1.105000000000000071e+01,1.251486448599646306e-01,0.000000000000000000e+00
1.109999999999999964e+01,7.649275633933551310e-02,0.000000000000000000e+00
1.115000000000000036e+01,-7.561905064502871809e-02,0.000000000000000000e+00
1.119999999999999929e+01,-1.208681199273467927e-01,0.000000000000000000e+00
1.125000000000000000e+01,5.254132092747607549e-06,0.000000000000000000e+00
1.130000000000000071e+01,1.177658529065220422e-01,0.000000000000000000e+00
1.134999999999999964e+01,7.177383544452782538e-02,0.000000000000000000e+00
1.140000000000000036e+01,-7.075085751143810053e-02,0.000000000000000000e+00
1.144999999999999929e+01,-1.127540021464322334e-01,0.000000000000000000e+00
1.150000000000000000e+01,6.011372349959313219e-06,0.000000000000000000e+00
1.155000000000000071e+01,1.092046276987358455e-01,0.000000000000000000e+00
1.159999999999999964e+01,6.635145910796828861e-02,0.000000000000000000e+00
1.165000000000000036e+01,-6.520439804787876714e-02,0.000000000000000000e+00
1.169999999999999929e+01,-1.035848595102671910e-01,0.000000000000000000e+00
1.175000000000000000e+01,6.620592670997552890e-06,0.000000000000000000e+00
1.180000000000000071e+01,9.967577501430013864e-02,0.000000000000000000e+00
1.184999999999999964e+01,6.035914423090117664e-02,0.000000000000000000e+00
1.190000000000000036e+01,-5.911624449398685671e-02,0.000000000000000000e+00
1.194999999999999929e+01,-9.358646674119341924e-02,0.000000000000000000e+00
1.200000000000000000e+01,7.066792027198949219e-06,0.000000000000000000e+00
1.205000000000000071e+01,8.941392683075366499e-02,0.000000000000000000e+00
1.209999999999999964e+01,5.394444149295053031e-02,0.000000000000000000e+00
1.215000000000000036e+01,-5.263630739568333355e-02,0.000000000000000000e+00
1.219999999999999929e+01,-8.300501745194893699e-02,0.000000000000000000e+00
1.225000000000000000e+01,7.338983510593131496e-06,0.000000000000000000e+00
1.230000000000000071e+01,7.867176390749829051e-02,0.000000000000000000e+00
1.234999999999999964e+01,4.726530216470335721e-02,0.000000000000000000e+00
1.240000000000000036e+01,-4.592414431000553521e-02,0.000000000000000000e+00
1.244999999999999929e+01,-7.210106204185175172e-02,0.000000000000000000e+00
1.250000000000000000e+01,7.430464863005914372e-06,0.000000000000000000e+00
1.255000000000000071e+01,6.771379394689790165e-02,0.000000000000000000e+00
1.259999999999999964e+01,4.048618882321360773e-02,0.000000000000000000e+00
1.265000000000000036e+01,-3.914503096851600084e-02,0.000000000000000000e+00
1.269999999999999929e+01,-6.114309208125189715e-02,0.000000000000000000e+00
1.275000000000000000e+01,7.338983510775911042e-06,0.000000000000000000e+00
1.280000000000000071e+01,5.680983853680082046e-02,0.000000000000000000e+00
1.284999999999999964e+01,3.377402573753606613e-02,0.000000000000000000e+00
1.290000000000000036e+01,-3.246589164026864038e-02,0.000000000000000000e+00
1.294999999999999929e+01,-5.040092915799598838e-02,0.000000000000000000e+00
1.300000000000000000e+01,7.066792027540621134e-06,0.000000000000000000e+00
1.305000000000000071e+01,4.622838924755626883e-02,0.000000000000000000e+00
1.309999999999999964e+01,2.729408863923234174e-02,0.000000000000000000e+00
1.315000000000000036e+01,-2.605118890231812590e-02,0.000000000000000000e+00
1.319999999999999929e+01,-4.013908097444997269e-02,0.000000000000000000e+00
1.325000000000000000e+01,6.620592670922417679e-06,0.000000000000000000e+00
1.330000000000000071e+01,3.622999647848263588e-02,0.000000000000000000e+00
1.334999999999999964e+01,2.120593508534042784e-02,0.000000000000000000e+00
1.340000000000000036e+01,-2.005887402525022636e-02,0.000000000000000000e+00
1.344999999999999929e+01,-3.061022829001405071e-02,0.000000000000000000e+00
1.350000000000000000e+01,6.011372350533029810e-06,0.000000000000000000e+00
1.355000000000000071e+01,2.706085384231739221e-02,0.000000000000000000e+00
1.359999999999999964e+01,1.565947562178111180e-02,0.000000000000000000e+00
